language_code;material_matnr;mktx
es;MAT-1001;Bomba hidráulica de engranajes
en;MAT-1001;Hydraulic gear pump
es;MAT-1002;Rodamiento de bolas 6204 2RS
en;MAT-1002;Ball bearing 6204 2RS
es;MAT-1003;Acero inoxidable AISI 304 en barra
en;MAT-1003;Stainless steel AISI 304 bar
es;MAT-1004;Carcasa mecanizada de aluminio
en;MAT-1004;Machined aluminium housing
es;MAT-1005;Caja de cartón 400x300x200
en;MAT-1005;Cardboard box 400x300x200
es;MAT-1006;Montaje en planta del cliente
en;MAT-1006;On-site assembly service
es;MAT-1007;Aceite lubricante ISO VG 46
en;MAT-1007;Lubricating oil ISO VG 46
es;MAT-1008;Válvula de seguridad DN25
en;MAT-1008;Safety valve DN25
